Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::priority_queue<HCNode*, std::vector<HCNode*, std::allocator<HCNode*> >, HCNodePtrComp>::priority_queue<std::vector<HCNode*, std::allocator<HCNode*> >, void>()
  0.00      0.00     0.00        1     0.00     0.00  std::priority_queue<HCNode*, std::vector<HCNode*, std::allocator<HCNode*> >, HCNodePtrComp>::~priority_queue()
  0.00      0.00     0.00        1     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        1     0.00     0.00  HCNode** std::__uninitialized_fill_n<true>::__uninit_fill_n<HCNode**, unsigned long, HCNode*>(HCNode**, unsigned long, HCNode* const&)
  0.00      0.00     0.00        1     0.00     0.00  int* std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_M_move_assign(std::vector<HCNode*, std::allocator<HCNode*> >&&, std::integral_constant<bool, true>)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_M_erase_at_end(HCNode**)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_S_check_init_len(unsigned long, std::allocator<HCNode*> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::_M_fill_initialize(unsigned long, HCNode* const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::clear()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::vector(std::allocator<HCNode*> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::vector(unsigned long, HCNode* const&, std::allocator<HCNode*> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::operator=(std::vector<HCNode*, std::allocator<HCNode*> >&&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00        1     0.00     0.00  HCNode** std::__fill_n_a<HCNode**, unsigned long, HCNode*>(HCNode**, unsigned long, HCNode* const&, std::random_access_iterator_tag)
  0.00      0.00     0.00        1     0.00     0.00  int* std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&, std::random_access_iterator_tag)
  0.00      0.00     0.00        1     0.00     0.00  HCNode** std::uninitialized_fill_n<HCNode**, unsigned long, HCNode*>(HCNode**, unsigned long, HCNode* const&)
  0.00      0.00     0.00        1     0.00     0.00  int* std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00        1     0.00     0.00  HCNode** std::__uninitialized_fill_n_a<HCNode**, unsigned long, HCNode*, HCNode*>(HCNode**, unsigned long, HCNode* const&, std::allocator<HCNode*>&)
  0.00      0.00     0.00        1     0.00     0.00  int* std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.00      0.00     0.00        1     0.00     0.00  std::remove_reference<std::allocator<HCNode*>&>::type&& std::move<std::allocator<HCNode*>&>(std::allocator<HCNode*>&)
  0.00      0.00     0.00        1     0.00     0.00  std::remove_reference<std::vector<HCNode*, std::allocator<HCNode*> >&>::type&& std::move<std::vector<HCNode*, std::allocator<HCNode*> >&>(std::vector<HCNode*, std::allocator<HCNode*> >&)
  0.00      0.00     0.00        1     0.00     0.00  HCNode** std::fill_n<HCNode**, unsigned long, HCNode*>(HCNode**, unsigned long, HCNode* const&)
  0.00      0.00     0.00        1     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00        1     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00        1     0.00     0.00  void std::__fill_a<HCNode**, HCNode*>(HCNode**, HCNode**, HCNode* const&)
  0.00      0.00     0.00        1     0.00     0.00  void std::__fill_a<int*, int>(int*, int*, int const&)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<HCNode*>::__value, void>::__type std::__fill_a1<HCNode**, HCNode*>(HCNode**, HCNode**, HCNode* const&)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)
  0.00      0.00     0.00        1     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2023 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00   68788/68788       HCTree::decode(FancyInputStream&) const [8]
[5]      0.0    0.00    0.00   68788         FancyInputStream::read_bit() [5]
                0.00    0.00    8599/8716        FancyInputStream::read_byte() [9]
-----------------------------------------------
                0.00    0.00   23226/23226       main [4]
[6]      0.0    0.00    0.00   23226         FancyInputStream::good() const [6]
-----------------------------------------------
                0.00    0.00   23225/23225       main [4]
[7]      0.0    0.00    0.00   23225         FancyOutputStream::write_byte(unsigned char const&) [7]
-----------------------------------------------
                0.00    0.00   23225/23225       main [4]
[8]      0.0    0.00    0.00   23225         HCTree::decode(FancyInputStream&) const [8]
                0.00    0.00   68788/68788       FancyInputStream::read_bit() [5]
-----------------------------------------------
                0.00    0.00     117/8716        main [4]
                0.00    0.00    8599/8716        FancyInputStream::read_bit() [5]
[9]      0.0    0.00    0.00    8716         FancyInputStream::read_byte() [9]
-----------------------------------------------
                0.00    0.00     231/6639        __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::operator-(long) const [30]
                0.00    0.00     470/6639        std::vector<HCNode*, std::allocator<HCNode*> >::begin() [21]
                0.00    0.00     470/6639        std::vector<HCNode*, std::allocator<HCNode*> >::end() [20]
                0.00    0.00    5468/6639        __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::operator+(long) const [12]
[10]     0.0    0.00    0.00    6639         __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::__normal_iterator(HCNode** const&) [10]
-----------------------------------------------
                0.00    0.00     231/6386        void std::push_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNodePtrComp>(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNodePtrComp) [39]
                0.00    0.00     612/6386        bool __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp>::operator()<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNode*>(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNode*&) [19]
                0.00    0.00     687/6386        void std::__pop_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp> >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&) [44]
                0.00    0.00     778/6386        void std::__push_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, long, HCNode*, __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp> >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, long, long, HCNode*, __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp>&) [23]
                0.00    0.00    2024/6386        bool __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>::operator()<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > > >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >) [17]
